epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,979.686,1.58649,3.39831,1.82304,0.37098,0.19035,0.11897,0.06129,1.83275,2.92181,2.1372,0.000276689,0.000276689,0.000276689
2,1067.3,1.58412,2.72983,1.79561,0.32216,0.27818,0.14985,0.06167,1.93476,3.11565,2.17838,0.000526915,0.000526915,0.000526915
3,1156.94,1.59276,2.54958,1.79232,0.317,0.26786,0.16154,0.06568,1.89807,2.6042,2.09762,0.000749652,0.000749652,0.000749652
4,1244.42,1.5607,2.39962,1.77228,0.34013,0.29896,0.21627,0.10048,1.82842,2.70528,2.10655,0.000709299,0.000709299,0.000709299
5,1333.28,1.53517,2.2548,1.74107,0.43954,0.33349,0.26974,0.13571,1.79122,2.25682,1.9754,0.000668066,0.000668066,0.000668066
6,1424.64,1.48947,2.1254,1.70662,0.40213,0.30861,0.26542,0.13201,1.73243,2.31226,1.99398,0.000626832,0.000626832,0.000626832
7,1513.59,1.47227,2.04947,1.69031,0.50634,0.34357,0.3192,0.16792,1.71725,2.13918,1.95957,0.000585599,0.000585599,0.000585599
8,1603.94,1.43151,1.94293,1.65872,0.50961,0.39121,0.33351,0.17303,1.69203,2.14425,1.88978,0.000544365,0.000544365,0.000544365
9,1692.89,1.39647,1.85462,1.62755,0.42071,0.37788,0.35215,0.17975,1.70927,2.03871,1.93534,0.000503132,0.000503132,0.000503132
10,1781.78,1.37666,1.78206,1.60883,0.57773,0.37993,0.38168,0.19827,1.66263,1.95357,1.91975,0.000461898,0.000461898,0.000461898
11,1870.68,1.41932,1.65304,1.73121,0.42114,0.37333,0.36702,0.18911,1.74177,2.09362,1.9475,0.000420665,0.000420665,0.000420665
12,1954.75,1.36491,1.50338,1.67769,0.53891,0.4085,0.39509,0.20499,1.71781,1.91669,1.90599,0.000379431,0.000379431,0.000379431
13,2039.33,1.31693,1.36647,1.62746,0.60764,0.39803,0.43031,0.21608,1.70597,1.88312,1.90913,0.000338198,0.000338198,0.000338198
14,2123.58,1.27723,1.29279,1.59256,0.47905,0.55457,0.4257,0.22242,1.71057,1.9098,1.92042,0.000296964,0.000296964,0.000296964
15,2208.58,1.22194,1.2045,1.53151,0.58028,0.48409,0.46887,0.22836,1.71335,1.87192,1.95206,0.000255731,0.000255731,0.000255731
16,2292.89,1.18,1.11025,1.50256,0.58725,0.51566,0.47227,0.24103,1.7688,1.868,2.00426,0.000214497,0.000214497,0.000214497
17,2377.2,1.14072,1.05079,1.46858,0.55646,0.5361,0.53042,0.27833,1.76854,1.87534,2.00515,0.000173264,0.000173264,0.000173264
18,2461.08,1.09369,0.96869,1.42174,0.60501,0.52241,0.53897,0.27172,1.77844,1.80861,2.0259,0.000132031,0.000132031,0.000132031
19,2544.71,1.05229,0.90111,1.38843,0.63762,0.47839,0.54189,0.27131,1.76431,1.85674,2.00564,9.0797e-05,9.0797e-05,9.0797e-05
20,2628.34,1.01498,0.85881,1.35031,0.59723,0.51247,0.53812,0.27964,1.78088,1.84076,2.03644,4.95635e-05,4.95635e-05,4.95635e-05
